coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
AwarenessandEducation,0.09943628684243981,0.10676996859746464,0.1136338491507031,0.8750586870516527,0.381542,8,aS
sanTotal,-0.08590815739873876,0.11386790671175631,0.12118808972560947,0.708882841484254,0.4783972,8,aS
MonitoringandSurveillance,-0.08254914627021376,0.11626820368856748,0.12374269368553165,0.667103194633831,0.5047062,8,aS
vacTotal,-0.06950298610291362,0.11368090905187493,0.12098907061795564,0.5744567319008639,0.5656588,8,aS
PopDensity,0.05558979381751114,0.1127309201087523,0.11997801009526671,0.46333318725132144,0.6431256,8,aS
(Intercept),0,0,0,NA,NA,9,aE
DPSIRUSE,1.1176476942258815,0.4652457659881217,0.48387880473934036,2.3097678246682962,0.020901,9,aE
DPSIRRESISTANCE,0.3777112420774879,0.1477182606500811,0.16027304797438602,2.3566734822304727,0.0184395,9,aE
DPSIRDRI,-0.38175238425993674,0.12925783522835263,0.14088217076256693,2.709728152211083,0.0067338,9,aE
x0008,0.7456421786855612,0.2546101977016158,0.2715695527832,2.7456766454257995,0.0060386,9,aE
workTotal,-0.22686259841876472,0.12285920280097327,0.13444470650186902,1.6874044677661661,0.0915256,9,aE
AwarenessandEducation,0.19728482819807006,0.11617026094094587,0.12712500390998205,1.551896339273811,0.120687,9,aE
DPSIRUSE:x0008,0.8737080241770768,0.5531746106149577,0.6053384400425598,1.443338083924835,0.1489253,9,aE
DPSIRRESISTANCE:x0008,NA,NA,NA,NA,NA,9,aE
DPSIRDRI:x0008,NA,NA,NA,NA,NA,9,aE
prod.per.area,0.17472942761188168,0.1269261646149824,0.1388951788716477,1.257994906888368,0.2083936,9,aE
General,-0.1448809272350774,0.12269809335526213,0.13426840459163766,1.079039612302809,0.2805701,9,aE
meantmpAreaPop,0.10176901948221384,0.14456291219660355,0.15819505464977554,0.6433135328251441,0.5200207,9,aE
RESPONSE,-0.09473160806164771,0.14685364025834627,0.16070179614667018,0.5894869275461461,0.5555347,9,aE
infTotal,-0.08206581575908757,0.12891513040751373,0.14107170220993043,0.5817312364811795,0.5607477,9,aE
PopDensity,0.0677433738304658,0.13431209047323672,0.1469775903770046,0.46090954176552207,0.6448635,9,aE
vacTotal,-0.059115913867690335,0.13101899941425454,0.14337396402411345,0.41231972813242357,0.6801051,9,aE
GDPcap_mean,-0.06749581657238171,0.15495156047974581,0.16956334239327328,0.3980566531640823,0.6905884,9,aE
MonitoringandSurveillance,-0.03307568404575269,0.13869036258513792,0.15176872930392277,0.2179347761390118,0.8274799,9,aE
(Intercept),0,0,0,NA,NA,10,Dr
x0008,1.054369839006078,0.27961091954219586,0.2822040344412142,3.736196901273264,1.868e-4,10,Dr
General,-0.1499837688176963,0.08867005055973314,0.0895009776323066,1.6757779946702793,0.0937817,10,Dr
RESPONSE,-0.10877032268407867,0.09074813557186544,0.09157572981411932,1.187763645508051,0.2349265,10,Dr
AwarenessandEducation,-0.06512811227095106,0.09374103047500189,0.09462184986101962,0.688298869305674,0.4912646,10,Dr
MonitoringandSurveillance,-0.05979084226047622,0.09767817740379198,0.09847549577444321,0.6071646737115833,0.5437416,10,Dr
meantmpAreaPop,-0.1801324727602411,0.08936255638629906,0.09020223429095091,1.9969845999514448,0.0458269,10,Dr
GDPcap_mean,0.08540740353218074,0.09278988597171267,0.09366176811314117,0.9118705022631074,0.3618369,10,Dr
(Intercept),0,0,0,NA,NA,11,P
sanTotal,0.1325437437701256,0.15650835541113492,0.15897395764256864,0.8337450091550983,0.4044247,11,P
AwarenessandEducation,0.17719846075487938,0.1745520486735206,0.1769428959684387,1.0014443348236273,0.316612,11,P
General,-0.1263976148074907,0.16082687034536858,0.16332068802938285,0.7739228650858405,0.4389764,11,P
RESPONSE,-0.11224428084926641,0.2138733026105042,0.21644893027422105,0.5185716589454296,0.6040595,11,P
workTotal,-0.045339117662323715,0.1671682592079848,0.16953136634559207,0.2674379298630749,0.789132,11,P
MonitoringandSurveillance,0.056808396848592395,0.19416176913578387,0.19680900499029222,0.28864734543724013,0.7728513,11,P
