coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
x0008,1.1599195888646445,2.74088895638723,2.764909133015883,0.41951454209254163,0.6748401,14,DPS
prod.per.area,0.43178591527172494,1.6863569009196535,1.7005040044945123,0.25391643543943115,0.7995601,14,DPS
vacTotal,0.7835536163812005,0.8371621240395976,0.8441975820855538,0.9281637770691844,0.3533226,14,DPS
gini,0.5770693932516188,2.2520944724416676,2.2723838601729316,0.25394890509726775,0.799535,14,DPS
sanTotal,-0.2730412420109476,1.617057775013433,1.6289039047464624,0.16762268247705273,0.8668801,14,DPS
PopDensity,-1.0706395450795314,7.2684866240706185,7.309056497093415,0.14648122442414988,0.8835415,14,DPS
infTotal,0.2895568732017063,4.453821165238263,4.494815028097917,0.0644201978038324,0.9486356,14,DPS
GDPcap_mean,-0.7229845788203756,1.8819895548860786,1.897507255174289,0.38101808404098475,0.7031898,14,DPS
DPSIRUSE:x0008,1.2799042902102287,6.525253308877113,6.586094272997796,0.1943343409853218,0.8459141,14,DPS
DPSIRRESISTANCE:x0008,8.601910084568946,9.980779835438089,10.073839865312824,0.8538859262780062,0.3931682,14,DPS
DPSIRUSE:RESPONSE,-1.8418465159860744,3.167654786797234,3.197189758407923,0.5760829525812202,0.5645591,14,DPS
DPSIRRESISTANCE:RESPONSE,-3.560438296082318,3.438282310525566,3.470340592524654,1.0259622077878294,0.3049094,14,DPS
DPSIRUSE:workTotal,-6.222527697915965,3.415874401611654,3.447723753977252,1.8048220048771986,0.0711025,14,DPS
DPSIRRESISTANCE:workTotal,2.1818052068648734,2.148706907101961,2.1687412864053677,1.0060237339240952,0.3144042,14,DPS
DPSIRUSE:PopDensity,19.902234498977116,0.0022047406437755448,0.0022252974773655718,8943.628751396629,0,14,DPS
DPSIRRESISTANCE:PopDensity,7.382631898398788,0.0022047184267717395,0.0022252750532121175,3317.626685178617,0,14,DPS
(Intercept),22.70482023747887,7.04145094033595,7.076998127228483,3.20825579282308,0.0013354,15,PSE
DPSIRRESISTANCE,-16.051597000059438,4.0496174705394345,4.085107468782383,3.9292961379162477,8.52e-5,15,PSE
DPSIRDRI,-3.5774281910167516,19.306087182265024,19.572126797584232,0.1827817808465409,0.8549692,15,PSE
sanTotal,4.908611183309753,3.4379543481765524,3.4853406050238624,1.408359107352191,0.1590248,15,PSE
DPSIRRESISTANCE:sanTotal,-4.683854842903296,4.041216057752771,4.096917234293906,1.1432632330710353,0.2529293,15,PSE
DPSIRDRI:sanTotal,35.11052228916441,46.23121288213942,46.868430223072885,0.7491294699236551,0.4537792,15,PSE
workTotal,1.1823322989931173,0.0015345208596611447,0.00155567157669496,760.0140779746032,0,15,PSE
DPSIRRESISTANCE:workTotal,11.30812394493432,0.0015343887971808455,0.0015555376939616913,7269.5917230616515,0,15,PSE
DPSIRDRI:workTotal,33.58472068432026,0.0015348971302223957,0.0015560530334953679,21583.275094987457,0,15,PSE
(Intercept),-12.411417556171664,3.5410630664221987,3.578645467159679,3.4681886401064572,5.24e-4,16,DP
DPSIRUSE,24.30628997178113,4.753884250716427,4.8053168401104225,5.058207560611672,4e-7,16,DP
General,-0.8844315024907229,6.113568119992424,6.183302037513505,0.1430354682861942,0.8862622,16,DP
AwarenessandEducation,-0.701131231268224,1.1135919887994905,1.12525525883687,0.6230863848554278,0.5332278,16,DP
RESPONSE,-0.835954905679643,6.034571329165857,6.102995691879023,0.13697452003644864,0.8910509,16,DP
workTotal,0.8495827382559513,1.4237410202441492,1.437799910963264,0.5908907990450267,0.5545936,16,DP
prod.per.area,0.47627423483115783,2.425772647316011,2.4531868727324238,0.19414510982633423,0.8460623,16,DP
meantmpAreaPop,-0.6981150705420225,1.7192805426904147,1.7313399141582617,0.4032224202960343,0.6867846,16,DP
GDPcap_mean,-0.20585846857395074,0.9893831143482593,0.9995510196006607,0.20595093650766824,0.8368292,16,DP
sanTotal,0.11643068902461241,1.3687888872474137,1.3837562742280465,0.08414103783526863,0.9329443,16,DP
x0008,0.6006877603152457,4.403673428494392,4.436704372074987,0.13539053088504796,0.8923031,16,DP
PopDensity,-0.06350675476831447,0.7534634147146199,0.7609720204447389,0.08345478291199049,0.9334899,16,DP
infTotal,-0.10969709013641499,1.926325424329851,1.9478294340561977,0.0563176057505095,0.9550888,16,DP
gini,-0.10438494957864025,4.568820842677926,4.620501857926834,0.022591690857035295,0.981976,16,DP
MonitoringandSurveillance,0.21259080464935232,3.4736383579901395,3.5116994451304717,0.06053787004583869,0.9517273,16,DP
vacTotal,0.581314573243641,1.1040598930561818,1.1120699315449263,0.5227320303823506,0.6011607,16,DP
DPSIRUSE:MonitoringandSurveillance,-2.639827776852937,0.0018074819946642187,0.0018281571887940526,1443.98293157401,0,16,DP
DPSIRUSE:meantmpAreaPop,5.124506541413632,0.0026004188155808413,0.002630164154117945,1948.3599658182525,0,16,DP
DPSIRUSE:gini,2.6962863133269828,0.0021012177439621678,0.0021252528850555317,1268.689637965851,0,16,DP
DPSIRUSE:workTotal,-2.778461971001295,0.002570483755884046,0.002599886677084575,1068.6857990737383,0,16,DP
DPSIRUSE:vacTotal,-2.8713420457065437,0.00822403114665765,0.008318103143495735,345.1919261125974,0,16,DP
AwarenessandEducation:DPSIRUSE,-1.3054589118727011,0.0028780003260268474,0.0029109208284838492,448.4693981019911,0,16,DP
DPSIRUSE:GDPcap_mean,-1.3278227766403616,0.001823600771102706,0.001844460342633247,719.8977098877025,0,16,DP
DPSIRUSE:General,-1.2007181168196426,0.002211386954679207,0.002236682285265705,536.8299846292225,0,16,DP
DPSIRUSE:infTotal,1.4435706029634814,7.139873337915988,7.221544008915542,0.1998977782564621,0.8415605,16,DP
DPSIRUSE:prod.per.area,-0.20819860403781135,0.002013739300278829,0.0020367738041261966,102.21979662937159,0,16,DP
DPSIRUSE:x0008,-10.487309688187338,0.002273854700775913,0.0022998645794360378,4559.968348553369,0,16,DP
DPSIRUSE:sanTotal,-1.3047958400456907,0.004086922456808525,0.004133671423292028,315.65059397163213,0,16,DP
(Intercept),23.145852101169297,8.40563023014966,8.477696026517695,2.730205474314076,0.0063295,17,PS
DPSIRRESISTANCE,-16.565505020917936,7.133230471675155,7.209035316820164,2.2978809636661373,0.0215686,17,PS
MonitoringandSurveillance,-12.592608387657206,14.214378655420473,14.244396366586168,0.8840394540828949,0.3766749,17,PS
workTotal,7.718712404671646,6.9429934398941056,6.959632576649099,1.1090689515089354,0.2674004,17,PS
RESPONSE,-11.946437143182907,6.769823774778685,6.861821124510187,1.7410009568029468,0.0816834,17,PS
prod.per.area,3.388230321522393,10.447302276804008,10.603521506345597,0.31953821374292796,0.7493184,17,PS
General,-6.413313146572163,3.788097339043913,3.8051760714457235,1.685418237200129,0.0919079,17,PS
DPSIRRESISTANCE:General,-13.443203339361531,0.0016788007954756565,0.0017067066696710694,7876.692332814529,0,17,PS
sanTotal,1.7767148869815026,5.149723974471525,5.222867639230425,0.3401799566269109,0.733721,17,PS
DPSIRRESISTANCE:workTotal,16.232434524248678,6.7187683468797,6.830451105633114,2.3764805974325314,0.0174787,17,PS
x0008,5.358190134497208,4.882614083668548,4.903376779315487,1.0927551309335057,0.2745013,17,PS
vacTotal,3.138487329960304,1.8869498712770847,1.913051817873512,1.640565770690387,0.1008876,17,PS
PopDensity,-0.47398639300973733,3.3501121556811286,3.3652774288787963,0.14084615697424224,0.8879915,17,PS
DPSIRRESISTANCE:PopDensity,-62.20987496637703,0.0028616121195058465,0.002909179280552118,21383.99492332784,0,17,PS
infTotal,-0.4457117307290191,11.008541608735722,11.190502556267552,0.03982946507432643,0.9682291,17,PS
GDPcap_mean,0.4083914090113117,2.122775041081365,2.13872758218893,0.19095064393069364,0.8485643,17,PS
