coefficient,Estimate,Std.Error,AdjustedSE,zvalue,Pr(>|z|),mod_number,mod_names
sanTotal,-0.04058704573158601,0.12720626315720482,0.12840294253046472,0.3160912431734684,0.7519333,2,DPSEA
AwarenessandEducation,-0.13460155602010754,0.1438129115310954,0.1450958542176498,0.9276733421907397,0.353577,2,DPSEA
vacTotal,0.08762375804305049,0.1057550761064547,0.10715842451563501,0.8177029331955669,0.41352680000000003,2,DPSEA
x0008,0.13581511562666732,0.2036420954822666,0.20628158449774575,0.6583967054419805,0.5102833,2,DPSEA
DPSIRUSE:MonitoringandSurveillance,-0.9495810905724321,0.3975198814695564,0.40329133830453995,2.3545784408971584,0.0185437,2,DPSEA
DPSIRRESISTANCE:MonitoringandSurveillance,-0.23906406490047655,0.5737853920008331,0.5818455531202086,0.4108720323090382,0.6811664,2,DPSEA
DPSIRDRI:MonitoringandSurveillance,-1.082763373615688,0.5737306137977117,0.5819766153105889,1.860492922104507,0.0628158,2,DPSEA
gini,0.187531605847919,0.12122314022307636,0.12264250095599197,1.529091500793932,0.1262418,2,DPSEA
GDPcap_mean,-0.21816068392561896,0.08124078310520313,0.08244266291663624,2.6462110296730357,0.0081399,2,DPSEA
(Intercept),0,0,0,NA,NA,3,DPSEA.noDr
DPSIRUSE,0.47272147713865853,0.2657092545397283,0.26626667421597405,1.775368541822192,0.0758371,3,DPSEA.noDr
DPSIRRESISTANCE,0.1409093525997549,0.14071613229993526,0.14201897672424127,0.9921867897510561,0.3211064,3,DPSEA.noDr
DPSIRDRI,0.5069493256609616,0.23142477594396071,0.23222753191373097,2.1829854603513836,0.0290369,3,DPSEA.noDr
MonitoringandSurveillance,-0.2749417968671896,0.12076355834901692,0.12156191077097059,2.261742968035401,0.0237133,3,DPSEA.noDr
General,-0.2512243417812953,0.12626888180482101,0.1273124237528186,1.9732900715884252,0.0484625,3,DPSEA.noDr
RESPONSE,-0.15963601747253287,0.2053027718833787,0.2061670360643437,0.7743042754066235,0.4387509,3,DPSEA.noDr
DPSIRUSE:MonitoringandSurveillance,-1.1048909416863941,0.34254478024362683,0.34632031746215325,3.1903728599669563,0.0014209,3,DPSEA.noDr
DPSIRRESISTANCE:MonitoringandSurveillance,-0.2614930513578537,0.4142099536510619,0.4187753862207289,0.6244231632563655,0.5323497,3,DPSEA.noDr
DPSIRDRI:MonitoringandSurveillance,-0.8953973804912718,0.4299415214319063,0.4346803477389413,2.059898463661454,0.0394082,3,DPSEA.noDr
meantmpAreaPop,0.24372805798873703,0.0900496510079895,0.09090387846851837,2.6811623672706593,0.0073367,3,DPSEA.noDr
AwarenessandEducation,-0.1420334190421416,0.13943016069493544,0.1403515915178243,1.0119829601227122,0.3115462,3,DPSEA.noDr
x0008,0.09366445594725363,0.1688527425996601,0.17068055327059992,0.5487705198538722,0.5831629,3,DPSEA.noDr
(Intercept),0,0,0,NA,NA,4,aP.noDr
DPSIRUSE,0.4502257055832846,0.23553066963333033,0.23616687354767174,1.9063880501953792,0.0565999,4,aP.noDr
DPSIRRESISTANCE,0.11879268626372165,0.13265456670288853,0.1340743042862473,0.8860212767548691,0.3756061,4,aP.noDr
DPSIRDRI,0.49107433352796204,0.2070210960697414,0.20789616907762631,2.3621134324250095,0.0181711,4,aP.noDr
MonitoringandSurveillance,-0.2842216771904605,0.11737216558337542,0.11827613025238175,2.4030349706570404,0.0162596,4,aP.noDr
General,-0.24475054003512756,0.10468349646462086,0.10560927108554616,2.317509982971793,0.020476,4,aP.noDr
RESPONSE,-0.19981997916210992,0.13424923036536537,0.13517404767499677,1.4782421818317033,0.139343,4,aP.noDr
meantmpAreaPop,0.27181710724484154,0.08461575384877454,0.08557374599398315,3.1764077181330066,0.0014911,4,aP.noDr
DPSIRUSE:MonitoringandSurveillance,-1.0867197068641543,0.35402706637763004,0.3581546804367173,3.0342189177565917,0.0024116,4,aP.noDr
DPSIRRESISTANCE:MonitoringandSurveillance,-0.18738277996705308,0.4486225458546833,0.4538530519468873,0.4128710364802874,0.6797011,4,aP.noDr
DPSIRDRI:MonitoringandSurveillance,-0.87911964693399125,0.4433977344393415,0.44856732427089147,1.9598388009267649,0.0500146,4,aP.noDr
AwarenessandEducation,-0.14360096099812691,0.14304268536933376,0.1439604312435697,0.9975029927158624,0.3185204,4,aP.noDr
x0008,0.08752366587873003,0.17174634553253126,0.17371089568874692,0.5038467249374724,0.6143691,4,aP.noDr
(Intercept),0,0,0,NA,NA,5,aS.noDr
DPSIRUSE,0.3523582984528773,0.10125336975026282,0.10237108560548928,3.4419709077890577,5.775e-4,5,aS.noDr
DPSIRRESISTANCE,0.12736906095662426,0.13912075204726823,0.14018774558026004,0.9085605908663618,0.3635821,5,aS.noDr
DPSIRDRI,0.48008346820171605,0.11192864566834455,0.11300611594896347,4.248296334850888,2.15e-5,5,aS.noDr
General,-0.28364112312182294,0.1318786926235755,0.1332162337269139,2.12917836803037,0.0332395,5,aS.noDr
MonitoringandSurveillance,-0.211070975244674,0.11302443659699918,0.11421581152029818,1.8480013619407059,0.0646021,5,aS.noDr
RESPONSE,-0.14139096305529317,0.20862728058241928,0.20978980475800324,0.6739648917562533,0.5003336,5,aS.noDr
x0008,0.2872952778798335,0.19310701008936115,0.19535290905447866,1.470647554061837,0.1413865,5,aS.noDr
AwarenessandEducation,-0.1102823025161188,0.16582858189780403,0.16685113224751927,0.6609622663663912,0.5086365,5,aS.noDr
GDPcap_mean,-0.23464388007409495,0.09866383735168865,0.0998483926859597,2.350001575008725,0.0187733,5,aS.noDr
(Intercept),0,0,0,NA,NA,6,aE.noDr
DPSIRUSE,0.34227681276554145,0.10412865227071154,0.1053725621941307,3.2482536785520666,0.0011612,6,aE.noDr
DPSIRRESISTANCE,0.09988897868970058,0.13431624996228922,0.13552397975720093,0.7370575957749874,0.4610873,6,aE.noDr
DPSIRDRI,0.469872126232616,0.11299573686441965,0.11420670580396841,4.114225368159503,3.88e-5,6,aE.noDr
General,-0.28293944161561024,0.13614137357547687,0.137616390382872,2.0560010390363024,0.0397824,6,aE.noDr
MonitoringandSurveillance,-0.21637446373616626,0.11723484207528692,0.11859367224467862,1.824502603222788,0.0680761,6,aE.noDr
RESPONSE,-0.1379563804356537,0.21108001221519646,0.2123908034427209,0.6495402729283369,0.5159892,6,aE.noDr
x0008,0.26879135622148453,0.19784796181035963,0.20030693615539893,1.3418973969675974,0.1796293,6,aE.noDr
AwarenessandEducation,-0.10407169440737869,0.16510187143819963,0.1662986881645609,0.6258118783498432,0.5314383,6,aE.noDr
meantmpAreaPop,0.18978195904182862,0.10110465586529703,0.10236744383196039,1.853928865835139,0.0637493,6,aE.noDr
GDPcap_mean,-0.24687488525404072,0.10256173445915838,0.10387100756432349,2.376744878508666,0.0174662,6,aE.noDr
(Intercept),0,0,0,NA,NA,7,aP
DPSIRUSE,0.6202932916320206,0.40359525978719557,0.40476741550179807,1.5324684445338341,0.1254069,7,aP
DPSIRRESISTANCE,-0.06966717440312392,0.5285723101409912,0.529966369166374,0.13145584032569638,0.8954147,7,aP
DPSIRDRI,0.41689162738845803,0.25037942446715084,0.25382064929300024,1.6424653728909788,0.1004936,7,aP
workTotal,0.14059320913358614,0.1626489553182538,0.16441295316856847,0.8551224609987965,0.3924834,7,aP
DPSIRUSE:workTotal,-0.9449594606174027,0.3315004784164263,0.33652759608201077,2.807970198043191,0.0049855,7,aP
DPSIRRESISTANCE:workTotal,1.1581810815224984,0.43785344965960515,0.44449338219374723,2.6056205287161434,0.0091708,7,aP
DPSIRDRI:workTotal,0.03471954090355358,0.48639408570243364,0.49377012422989225,0.07031519162424793,0.9439428,7,aP
MonitoringandSurveillance,-0.3137921279148947,0.1286603988241051,0.1300543708258817,2.412776486651135,0.0158315,7,aP
infTotal,-0.05615418987869332,0.12511960883845621,0.12666998255931217,0.4433109466356766,0.6575408,7,aP
meantmpAreaPop,0.3413077268919892,0.12312998656311865,0.12438022892636784,2.7440673637450916,0.0060683,7,aP
RESPONSE,-0.21308273473744033,0.1377624655258415,0.13937316570448557,1.528864854725636,0.126298,7,aP
General,-0.22913953189451555,0.12152481697884865,0.12309039799662062,1.8615548866842273,0.0626659,7,aP
